scenario,taskCount,run,totalCpuTime,totalWaitTime,avgStartTime,avgExecutionTime,avgFinishTime,throughput,makespan,imbalanceDegree,resourceUtilization,totalEnergy
MOWS,7152,1,12821196.0619999990,0.0000000000,0.3000000000,1792.6728274609,1792.9728274609,0.1604800580,44566.2850000000,1.9243328394,5.3275599863,160438626.0000000000
MOWS,7152,2,13220078.7490000040,0.0000000000,0.3000000000,1848.4450152405,1848.7450152405,0.1442305133,49587.2880000000,2.2007102719,4.9370772834,178514236.8000000000
MOWS,7152,3,12775056.2739999890,0.0000000000,0.3000000000,1786.2215148210,1786.5215148210,0.1677702864,42629.7180000000,1.9438269224,5.5495350963,153466984.8000000000
MOWS,7152,4,12980421.3979999960,0.0000000000,0.3000000000,1814.9358777964,1815.2358777964,0.1691278649,42287.5320000000,2.0023109541,5.6843746293,152235115.2000000000
MOWS,7152,5,13068351.4060000130,0.0000000000,0.3000000000,1827.2303420022,1827.5303420022,0.1774316163,40308.4870000000,2.2955068510,6.0038598700,145110553.2000000200
MOWS,7152,6,13571389.3339999970,0.0000000000,0.3000000000,1897.5656227629,1897.8656227629,0.1219610373,58641.6790000000,3.5499599888,4.2857235500,211110044.4000000000
MOWS,7152,7,13171432.1069999910,0.0000000000,0.3000000000,1841.6431916946,1841.9431916946,0.1358639695,52640.8880000000,2.5874065299,4.6335732290,189507196.7999999800
MOWS,7152,8,12982774.4369999950,0.0000000000,0.3000000000,1815.2648821309,1815.5648821309,0.1588147023,45033.6140000000,2.2819324153,5.3387176262,162121010.3999999800
MOWS,7152,9,12888297.9219999930,0.0000000000,0.3000000000,1802.0550785794,1802.3550785794,0.1503990812,47553.4820000000,2.4692032132,5.0190264456,171192535.2000000000
MOWS,7152,10,12958988.8530000020,0.0000000000,0.3000000000,1811.9391572987,1812.2391572987,0.1594877695,44843.5640000000,2.0061326613,5.3515210133,161436830.4000000000
Baseline_RoundRobin,7152,1,12880064.9379999970,0.0000000000,0.3000000000,1800.9039342841,1801.2039342841,0.1606438187,44520.8540000000,1.9576697428,5.3574830589,160275074.4000000000
Baseline_RoundRobin,7152,2,12880057.2610000130,0.0000000000,0.3000000000,1800.9028608781,1801.2028608781,0.1606437971,44520.8600000000,1.9576800829,5.3574791437,160275096.0000000000
Baseline_RoundRobin,7152,3,12880056.1610000020,0.0000000000,0.3000000000,1800.9027070749,1801.2027070749,0.1606438115,44520.8560000000,1.9576846145,5.3574791674,160275081.6000000000
Baseline_RoundRobin,7152,4,12880064.9379999970,0.0000000000,0.3000000000,1800.9039342841,1801.2039342841,0.1606438187,44520.8540000000,1.9576697428,5.3574830589,160275074.4000000000
Baseline_RoundRobin,7152,5,12880057.2610000130,0.0000000000,0.3000000000,1800.9028608781,1801.2028608781,0.1606437971,44520.8600000000,1.9576800829,5.3574791437,160275096.0000000000
Baseline_RoundRobin,7152,6,12880056.1610000020,0.0000000000,0.3000000000,1800.9027070749,1801.2027070749,0.1606438115,44520.8560000000,1.9576846145,5.3574791674,160275081.6000000000
Baseline_RoundRobin,7152,7,12880064.9379999970,0.0000000000,0.3000000000,1800.9039342841,1801.2039342841,0.1606438187,44520.8540000000,1.9576697428,5.3574830589,160275074.4000000000
Baseline_RoundRobin,7152,8,12880057.2610000130,0.0000000000,0.3000000000,1800.9028608781,1801.2028608781,0.1606437971,44520.8600000000,1.9576800829,5.3574791437,160275096.0000000000
Baseline_RoundRobin,7152,9,12880056.1610000020,0.0000000000,0.3000000000,1800.9027070749,1801.2027070749,0.1606438115,44520.8560000000,1.9576846145,5.3574791674,160275081.6000000000
Baseline_RoundRobin,7152,10,12880064.9379999970,0.0000000000,0.3000000000,1800.9039342841,1801.2039342841,0.1606438187,44520.8540000000,1.9576697428,5.3574830589,160275074.4000000000
