scenario,taskCount,totalCpuTime,totalWaitTime,avgStartTime,avgExecutionTime,avgFinishTime,throughput,makespan,imbalanceDegree,resourceUtilization,totalEnergy
Baseline_Random,1000,466475.1200,0.0000,0.3000,466.4751,466.7751,1.0256,975.0330,2.329648,8.859626,3510118.8000
MOWS,1000,472263.5390,0.0000,0.3000,472.2635,472.5635,1.0351,966.0680,2.387938,9.052801,3477844.8000
Baseline_Random,2000,1803648.9490,0.0000,0.3000,901.8245,902.1245,1.2785,1564.3600,1.442650,21.351164,5631696.0000
MOWS,2000,1791099.8400,0.0000,0.3000,895.5499,895.8499,1.3244,1510.1460,1.423240,21.963781,5436525.6000
Baseline_Random,3000,3997413.5420,0.0000,0.3000,1332.4712,1332.7712,1.3312,2253.5910,1.122399,32.848097,8112927.6000
MOWS,3000,4018369.2020,0.0000,0.3000,1339.4564,1339.7564,1.3215,2270.2140,1.114577,32.778515,8172770.4000
Baseline_Random,4000,7031920.7400,0.0000,0.3000,1757.9802,1758.2802,1.3577,2946.2190,1.161120,44.199279,10606388.4000
MOWS,4000,7015991.5590,0.0000,0.3000,1753.9979,1754.2979,1.5015,2664.0040,0.844662,48.770861,9590414.4000
Baseline_Random,5000,10869978.7670,0.0000,0.3000,2173.9958,2174.2958,1.5218,3285.6810,0.783139,61.264591,11828451.6000
MOWS,5000,10935240.4240,0.0000,0.3000,2187.0481,2187.3481,1.3912,3593.9710,0.995835,56.345600,12938295.6000
Baseline_Random,6000,15707004.2740,0.0000,0.3000,2617.8340,2618.1340,1.5272,3928.7180,0.681149,74.036989,14143384.8000
MOWS,6000,15742257.0730,0.0000,0.3000,2623.7095,2624.0095,1.3914,4312.3250,1.032616,67.602344,15524370.0000
Baseline_Random,7000,21380376.8480,0.0000,0.3000,3054.3395,3054.6395,1.3874,5045.3230,0.982016,78.475234,18163162.8000
MOWS,7000,21371456.4620,0.0000,0.3000,3053.0652,3053.3652,1.5001,4666.4320,0.676329,84.811632,16799155.2000
Baseline_Random,8000,27986604.7350,0.0000,0.3000,3498.3256,3498.6256,1.5093,5300.6200,0.880699,97.775441,19082232.0000
MOWS,8000,27957222.7690,0.0000,0.3000,3494.6528,3494.9528,1.4558,5495.0890,0.896559,94.216190,19782320.4000
Baseline_Random,9000,35357942.7120,0.0000,0.3000,3928.6603,3928.9603,1.5570,5780.3420,0.683290,113.276466,20809231.2000
MOWS,9000,35320878.4830,0.0000,0.3000,3924.5421,3924.8421,1.5155,5938.5950,0.592085,110.142271,21378942.0000
Baseline_Random,10000,43502957.6640,0.0000,0.3000,4350.2958,4350.5958,1.4534,6880.3920,0.828526,117.087853,24769411.2000
MOWS,10000,43487776.2450,0.0000,0.3000,4348.7776,4349.0776,1.5773,6339.8360,0.563173,127.026817,22823409.6000
