scenario,taskCount,run,totalCpuTime,totalWaitTime,avgStartTime,avgExecutionTime,avgFinishTime,throughput,makespan,imbalanceDegree,resourceUtilization,totalEnergy
MOWS,1000,1,985145.2849999996,0.0000000000,0.3000000000,985.1452850000,985.4452850000,0.0736922391,13569.9500000000,2.2183337415,1.3443992943,48851819.9999999900
MOWS,1000,2,1013543.7770000002,0.0000000000,0.3000000000,1013.5437770000,1013.8437770000,0.0606051497,16500.2480000000,2.5513324680,1.1375180060,59400892.8000000000
MOWS,1000,3,1023543.8629999995,0.0000000000,0.3000000000,1023.5438630000,1023.8438630000,0.0643639975,15536.6360000000,2.3011493431,1.2199884184,55931889.5999999940
MOWS,1000,4,1001477.8320000004,0.0000000000,0.3000000000,1001.4778320000,1001.7778320000,0.0564611134,17711.3050000000,4.2765694209,1.0471213599,63760697.9999999850
MOWS,1000,5,1014460.1889999997,0.0000000000,0.3000000000,1014.4601890000,1014.7601890000,0.0644565296,15514.3320000000,3.5462059970,1.2108996892,55851595.1999999960
MOWS,1000,6,994183.9050000007,0.0000000000,0.3000000000,994.1839050000,994.4839050000,0.0535277948,18681.8830000000,3.6280548175,0.9854902236,67254778.8000000000
MOWS,1000,7,1044416.9170000005,0.0000000000,0.3000000000,1044.4169170000,1044.7169170000,0.0482143944,20740.6940000000,4.4341130487,0.9325172060,74666498.3999999900
MOWS,1000,8,1000522.3269999998,0.0000000000,0.3000000000,1000.5223270000,1000.8223270000,0.0557463599,17938.3910000000,4.2165330110,1.0328792165,64578207.5999999900
MOWS,1000,9,1063557.1279999998,0.0000000000,0.3000000000,1063.5571280000,1063.8571280000,0.0439203497,22768.4890000000,5.0153301065,0.8650333525,81966560.3999999900
MOWS,1000,10,1035518.7829999998,0.0000000000,0.3000000000,1035.5187830000,1035.8187830000,0.0581408802,17199.6020000000,2.7955414421,1.1149254360,61918567.1999999960
Baseline_RoundRobin,1000,1,844402.1080000000,0.0000000000,0.3000000000,844.4021080000,844.7021080000,0.0937389154,10667.9280000000,0.7991350775,1.4658025508,38404540.7999999900
Baseline_RoundRobin,1000,2,844401.6010000000,0.0000000000,0.3000000000,844.4016010000,844.7016010000,0.0937389154,10667.9280000000,0.7991362608,1.4658016707,38404540.8000000000
Baseline_RoundRobin,1000,3,844401.9710000000,0.0000000000,0.3000000000,844.4019710000,844.7019710000,0.0937389417,10667.9250000000,0.7991333526,1.4658027252,38404530.0000000000
Baseline_RoundRobin,1000,4,844401.9059999997,0.0000000000,0.3000000000,844.4019060000,844.7019060000,0.0937389154,10667.9280000000,0.7991369953,1.4658022001,38404540.8000000040
Baseline_RoundRobin,1000,5,844401.9620000000,0.0000000000,0.3000000000,844.4019620000,844.7019620000,0.0937389329,10667.9260000000,0.7991300996,1.4658025722,38404533.5999999940
Baseline_RoundRobin,1000,6,844402.0669999999,0.0000000000,0.3000000000,844.4020670000,844.7020670000,0.0937389154,10667.9280000000,0.7991369708,1.4658024796,38404540.8000000040
Baseline_RoundRobin,1000,7,844401.4919999997,0.0000000000,0.3000000000,844.4014920000,844.7014920000,0.0937389505,10667.9240000000,0.7991312479,1.4658020311,38404526.4000000000
Baseline_RoundRobin,1000,8,844413.5719999999,0.0000000000,0.3000000000,844.4135720000,844.7135720000,0.0937389329,10667.9260000000,0.7991241003,1.4658227260,38404533.6000000000
Baseline_RoundRobin,1000,9,844401.3760000005,0.0000000000,0.3000000000,844.4013760000,844.7013760000,0.0937389417,10667.9250000000,0.7991346831,1.4658016923,38404530.0000000000
Baseline_RoundRobin,1000,10,844402.1080000000,0.0000000000,0.3000000000,844.4021080000,844.7021080000,0.0937389154,10667.9280000000,0.7991350775,1.4658025508,38404540.7999999900
MOWS,2000,1,3679494.8740000012,0.0000000000,0.3000000000,1839.7474370000,1840.0474370000,0.0936932980,21346.2440000000,1.7679455857,3.1920741636,76846478.3999999900
MOWS,2000,2,3563152.7470000000,0.0000000000,0.3000000000,1781.5763735000,1781.8763735000,0.1007373775,19853.6040000000,1.4410600916,3.3235431778,71472974.3999999900
MOWS,2000,3,3736990.4170000027,0.0000000000,0.3000000000,1868.4952085000,1868.7952085000,0.0726258712,27538.3960000000,2.5928482947,2.5129831905,99138225.6000000000
MOWS,2000,4,3726650.1490000016,0.0000000000,0.3000000000,1863.3250745000,1863.6250745000,0.0712334097,28076.7130000000,3.2693202036,2.4579814523,101076166.7999999800
MOWS,2000,5,3587497.6740000015,0.0000000000,0.3000000000,1793.7488370000,1794.0488370000,0.0715203678,27964.0620000000,1.8775941774,2.3757329000,100670623.1999999900
MOWS,2000,6,3645006.9480000013,0.0000000000,0.3000000000,1822.5034740000,1822.8034740000,0.1015579910,19693.1820000000,1.8107257040,3.4275887293,70895455.1999999900
MOWS,2000,7,3586211.4550000020,0.0000000000,0.3000000000,1793.1057275000,1793.4057275000,0.1018365561,19639.3130000000,1.9155511258,3.3815502223,70701526.8000000100
MOWS,2000,8,3631228.6540000040,0.0000000000,0.3000000000,1815.6143270000,1815.9143270000,0.0774751049,25814.7440000000,1.6317390835,2.6049057498,92933078.3999999800
MOWS,2000,9,3695470.1029999987,0.0000000000,0.3000000000,1847.7350515000,1848.0350515000,0.0653512698,30603.8430000000,2.3426246244,2.2361450337,110173834.8000000000
