scenario,taskCount,avgTotalCpuTime,avgTotalWaitTime,avgAvgStartTime,avgAvgExecutionTime,avgAvgFinishTime,avgThroughput,avgMakespan,avgImbalanceDegree,avgResourceUtilization,avgTotalEnergy
MOWS,1000,1017637.0005999999,0.0000000000,0.3000000000,1017.6370006000,1017.9370006000,0.0579128808,17616.1530000000,3.4983163396,1.0890772202,63418150.8000000000
Baseline_RoundRobin,1000,844403.0162999999,0.0000000000,0.3000000000,844.4030163000,844.7030163000,0.0937389277,10667.9266000000,0.7991333865,1.4658043199,38404535.7600000050
MOWS,2000,3644573.8971000016,0.0000000000,0.3000000000,1822.2869485500,1822.5869485500,0.0830689053,24731.8994000000,2.0612201045,2.7996975377,89034837.8399999700
Baseline_RoundRobin,2000,3258918.4708999990,0.0000000000,0.3000000000,1629.4592354500,1629.7592354500,0.1368468975,14614.8728000000,0.3360577838,4.1293785365,52613542.0800000000
MOWS,3000,7990924.9778999980,0.0000000000,0.3000000000,2663.6416593000,2663.9416593000,0.0968708292,31202.9971000000,1.7359385135,4.7770494621,112330789.5599999900
Baseline_RoundRobin,3000,7342883.5351999950,0.0000000000,0.3000000000,2447.6278450667,2447.9278450667,0.1634778700,18351.1077000000,0.2022001047,7.4098701260,66063987.7199999840
MOWS,4000,13721024.9766000000,0.0000000000,0.3000000000,3430.2562441500,3430.5562441500,0.1073518408,37517.0546000000,1.3908697231,6.8161780219,135061396.5599999700
Baseline_RoundRobin,4000,12882971.4324999950,0.0000000000,0.3000000000,3220.7428581250,3221.0428581250,0.1751460258,22838.0860000000,0.1531432821,10.4463020696,82217109.6000000000
MOWS,5000,21207792.4086000060,0.0000000000,0.3000000000,4241.5584817200,4241.8584817200,0.1068416600,47254.9224000000,1.4498400655,8.3909055440,170117720.6399999600
Baseline_RoundRobin,5000,20030496.2067000050,0.0000000000,0.3000000000,4006.0992413400,4006.3992413400,0.1809832180,27626.8709000000,0.1232133734,13.4266061575,99456735.2399999800
MOWS,6000,29981079.3622000200,0.0000000000,0.3000000000,4996.8465603667,4997.1465603667,0.1167700245,52644.1114000000,1.1869946321,10.8015478978,189518801.0400000000
Baseline_RoundRobin,6000,28655876.9926000300,0.0000000000,0.3000000000,4775.9794987667,4776.2794987667,0.1892962546,31696.3482000000,0.1004332298,16.7421302102,114106853.5199999800
MOWS,7000,40326404.8624000400,0.0000000000,0.3000000000,5760.9149803429,5761.2149803429,0.1223554786,57318.6169000000,1.0301174631,13.0531820310,206347020.8400000000
Baseline_RoundRobin,7000,38844603.2920000400,0.0000000000,0.3000000000,5549.2290417143,5549.5290417143,0.1926111634,36342.6495000000,0.0878693768,19.7933974354,130833538.1999999600
MOWS,8000,54106074.1380999800,0.0000000000,0.3000000000,6763.2592672625,6763.5592672625,0.1195248596,67218.4409000000,1.0946650075,14.9693051184,241986387.2399999500
Baseline_RoundRobin,8000,52242591.7151000050,0.0000000000,0.3000000000,6530.3239643875,6530.6239643875,0.1964310169,40726.7657000000,0.0741161107,23.7547810513,146616356.5199999800
MOWS,9000,67361839.2538999800,0.0000000000,0.3000000000,7484.6488059889,7484.9488059889,0.1255063011,72729.8410000000,0.9997951092,17.3926016971,261827427.5999999600
Baseline_RoundRobin,9000,65203055.3959999500,0.0000000000,0.3000000000,7244.7839328889,7245.0839328889,0.2021337735,44524.9690000000,0.0638916504,27.1188058281,160289888.4000000400
MOWS,10000,81911191.7146000000,0.0000000000,0.3000000000,8191.1191714600,8191.4191714600,0.1329399485,75678.3178000000,0.9207754297,20.1617826868,272441944.0800000400
Baseline_RoundRobin,10000,79579665.2747999700,0.0000000000,0.3000000000,7957.9665274800,7958.2665274800,0.2029234961,49279.6556000000,0.0599365687,29.9047849898,177406760.1600000000
