scenario,taskCount,run,totalCpuTime,totalWaitTime,avgStartTime,avgExecutionTime,avgFinishTime,throughput,makespan,imbalanceDegree,resourceUtilization,totalEnergy
MOWS,1000,1,463710.1110000002,0.0000000000,0.3000000000,463.7101110000,464.0101110000,1.1245431543,889.2500000000,1.9134163111,9.6567042764,3201299.9999999995
MOWS,1000,2,458915.6990000006,0.0000000000,0.3000000000,458.9156990000,459.2156990000,1.1977281492,834.9140000000,1.7671871539,10.1788194597,3005690.4000000000
MOWS,1000,3,465247.3440000004,0.0000000000,0.3000000000,465.2473440000,465.5473440000,1.0192588969,981.1050000000,2.4666911371,8.7816202706,3531977.9999999995
MOWS,1000,4,462032.0680000000,0.0000000000,0.3000000000,462.0320680000,462.3320680000,1.0186494338,981.6920000000,2.2704111482,8.7157167497,3534091.1999999997
MOWS,1000,5,476009.7650000000,0.0000000000,0.3000000000,476.0097650000,476.3097650000,0.9343489083,1070.2640000000,3.0015056225,8.2362815606,3852950.4000000004
MOWS,1000,6,460812.1870000000,0.0000000000,0.3000000000,460.8121870000,461.1121870000,1.1142980034,897.4260000000,2.0805363813,9.5089277762,3230733.6000000000
MOWS,1000,7,462993.6720000000,0.0000000000,0.3000000000,462.9936720000,463.2936720000,1.2337667145,810.5260000000,1.6212547112,10.5782626207,2917893.6000000000
MOWS,1000,8,461117.5440000002,0.0000000000,0.3000000000,461.1175440000,461.4175440000,1.2036924470,830.7770000000,1.7927497072,10.2785871272,2990797.1999999997
MOWS,1000,9,469157.8609999997,0.0000000000,0.3000000000,469.1578610000,469.4578610000,1.1073792431,903.0330000000,2.1080389272,9.6210310554,3250918.8000000003
MOWS,1000,10,463745.6980000003,0.0000000000,0.3000000000,463.7456980000,464.0456980000,1.1535209497,866.9110000000,1.9233782563,9.9063032956,3120879.5999999996
Baseline_RoundRobin,1000,1,444501.6870000001,0.0000000000,0.3000000000,444.5016870000,444.8016870000,1.5059401810,664.0370000000,0.5497055223,12.3961657592,2390533.1999999993
Baseline_RoundRobin,1000,2,444499.4489999995,0.0000000000,0.3000000000,444.4994490000,444.7994490000,1.5058948253,664.0570000000,0.5496990571,12.3957300018,2390605.1999999997
Baseline_RoundRobin,1000,3,444501.2330000000,0.0000000000,0.3000000000,444.5012330000,444.8012330000,1.5059447168,664.0350000000,0.5496889544,12.3961904340,2390525.9999999995
Baseline_RoundRobin,1000,4,444500.5439999995,0.0000000000,0.3000000000,444.5005440000,444.8005440000,1.5058948253,664.0570000000,0.5496934510,12.3957605380,2390605.1999999997
Baseline_RoundRobin,1000,5,444500.4820000004,0.0000000000,0.3000000000,444.5004820000,444.8004820000,1.5059605920,664.0280000000,0.5496737257,12.3963001672,2390500.7999999990
Baseline_RoundRobin,1000,6,444499.7940000005,0.0000000000,0.3000000000,444.4997940000,444.7997940000,1.5059379132,664.0380000000,0.5497146665,12.3960942998,2390536.8000000000
Baseline_RoundRobin,1000,7,444499.8710000000,0.0000000000,0.3000000000,444.4998710000,444.7998710000,1.5058948253,664.0570000000,0.5496713226,12.3957417700,2390605.1999999997
Baseline_RoundRobin,1000,8,444501.1060000004,0.0000000000,0.3000000000,444.5011060000,444.8011060000,1.5059401810,664.0370000000,0.5497053904,12.3961495564,2390533.1999999993
Baseline_RoundRobin,1000,9,444499.9810000004,0.0000000000,0.3000000000,444.4999810000,444.7999810000,1.5058948253,664.0570000000,0.5496756815,12.3957448376,2390605.1999999997
Baseline_RoundRobin,1000,10,444501.6870000001,0.0000000000,0.3000000000,444.5016870000,444.8016870000,1.5059401810,664.0370000000,0.5497055223,12.3961657592,2390533.1999999993
MOWS,2000,1,1797153.2079999990,0.0000000000,0.3000000000,898.5766040000,898.8766040000,1.3032058212,1534.6770000000,1.4471272557,21.6857455758,5524837.1999999990
MOWS,2000,2,1795970.3890000002,0.0000000000,0.3000000000,897.9851945000,898.2851945000,1.3709644804,1458.8270000000,1.1941711184,22.7982556584,5251777.1999999990
MOWS,2000,3,1807361.1519999972,0.0000000000,0.3000000000,903.6805760000,903.9805760000,1.2277214595,1629.0340000000,1.6521318391,20.5457043640,5864522.3999999985
MOWS,2000,4,1788919.6400000006,0.0000000000,0.3000000000,894.4598200000,894.7598200000,1.2506722363,1599.1400000000,1.3981780724,20.7162233960,5756904.0000000000
MOWS,2000,5,1803915.2090000007,0.0000000000,0.3000000000,901.9576045000,902.2576045000,1.1903160646,1680.2260000000,1.6558473198,19.8817523379,6048813.6000000000
MOWS,2000,6,1799788.6219999983,0.0000000000,0.3000000000,899.8943110000,900.1943110000,1.4136903184,1414.7370000000,1.2219009005,23.5587384269,5093053.1999999990
MOWS,2000,7,1806265.3419999990,0.0000000000,0.3000000000,903.1326710000,903.4326710000,1.2728897397,1571.2280000000,1.4915250309,21.2886724175,5656420.8000000000
MOWS,2000,8,1811690.0900000005,0.0000000000,0.3000000000,905.8450450000,906.1450450000,1.3530682853,1478.1220000000,1.3157785535,22.6975963293,5321239.2000000000
MOWS,2000,9,1789616.0519999994,0.0000000000,0.3000000000,894.8080260000,895.1080260000,1.3201668691,1514.9600000000,1.3163727702,21.8758501875,5453856.0000000000
MOWS,2000,10,1790921.9809999983,0.0000000000,0.3000000000,895.4609905000,895.7609905000,1.3498956531,1481.5960000000,1.2814100918,22.3847944179,5333745.6000000000
Baseline_RoundRobin,2000,1,1754656.0960000030,0.0000000000,0.3000000000,877.3280480000,877.6280480000,1.5897391874,1258.0680000000,0.3533936191,25.8281995945,4529044.7999999990
Baseline_RoundRobin,2000,2,1754656.3899999994,0.0000000000,0.3000000000,877.3281950000,877.6281950000,1.5897391874,1258.0680000000,0.3534056238,25.8282039221,4529044.7999999990
Baseline_RoundRobin,2000,3,1754658.4760000033,0.0000000000,0.3000000000,877.3292380000,877.6292380000,1.5897379238,1258.0690000000,0.3534028339,25.8282140975,4529048.3999999990
Baseline_RoundRobin,2000,4,1754656.7650000000,0.0000000000,0.3000000000,877.3283825000,877.6283825000,1.5897429783,1258.0650000000,0.3534049943,25.8282710323,4529033.9999999990
Baseline_RoundRobin,2000,5,1754655.6249999995,0.0000000000,0.3000000000,877.3278125000,877.6278125000,1.5897455056,1258.0630000000,0.3534062087,25.8282953121,4529026.8000000010
Baseline_RoundRobin,2000,6,1754656.0640000020,0.0000000000,0.3000000000,877.3280320000,877.6280320000,1.5897379238,1258.0690000000,0.3533962722,25.8281785934,4529048.3999999990
Baseline_RoundRobin,2000,7,1754656.8090000001,0.0000000000,0.3000000000,877.3284045000,877.6284045000,1.5897379238,1258.0690000000,0.3534018156,25.8281895596,4529048.3999999990
Baseline_RoundRobin,2000,8,1754656.6599999970,0.0000000000,0.3000000000,877.3283300000,877.6283300000,1.5897379238,1258.0690000000,0.3533950135,25.8281873664,4529048.3999999990
Baseline_RoundRobin,2000,9,1754656.7199999988,0.0000000000,0.3000000000,877.3283600000,877.6283600000,1.5897417147,1258.0660000000,0.3533916161,25.8282498398,4529037.6000000010
Baseline_RoundRobin,2000,10,1754656.0960000030,0.0000000000,0.3000000000,877.3280480000,877.6280480000,1.5897391874,1258.0680000000,0.3533936191,25.8281995945,4529044.7999999990
MOWS,3000,1,3970823.6050000056,0.0000000000,0.3000000000,1323.6078683333,1323.9078683333,1.4926836113,2009.8030000000,0.8680201708,36.5875513485,7235290.7999999990
MOWS,3000,2,4011066.0919999895,0.0000000000,0.3000000000,1337.0220306667,1337.3220306667,1.2851818532,2334.3000000000,1.5907643922,31.8206750219,8403480.0000000000
MOWS,3000,3,3996993.6649999963,0.0000000000,0.3000000000,1332.3312216667,1332.6312216667,1.4218656394,2109.9040000000,0.9382132263,35.0814071179,7595654.3999999985
MOWS,3000,4,4005768.9139999960,0.0000000000,0.3000000000,1335.2563046667,1335.5563046667,1.3762137058,2179.8940000000,1.1727853825,34.0295930971,7847618.3999999990
MOWS,3000,5,4016683.4510000004,0.0000000000,0.3000000000,1338.8944836667,1339.1944836667,1.3369043534,2243.9900000000,1.2894406162,33.1476641475,8078364.0000000030
MOWS,3000,6,4018700.1749999910,0.0000000000,0.3000000000,1339.5667250000,1339.8667250000,1.2803829540,2343.0490000000,1.1829219168,31.7621926008,8434976.4000000020
MOWS,3000,7,4023787.9689999920,0.0000000000,0.3000000000,1341.2626563333,1341.5626563333,1.3468346020,2227.4450000000,1.2030289044,33.4529436276,8018801.9999999950
MOWS,3000,8,3993645.8379999963,0.0000000000,0.3000000000,1331.2152793333,1331.5152793333,1.4366839037,2088.1420000000,1.0309470777,35.4173252621,7517311.1999999990
MOWS,3000,9,4017143.3330000066,0.0000000000,0.3000000000,1339.0477776667,1339.3477776667,1.3390268756,2240.4330000000,1.3620337022,33.2040918892,8065558.8000000000
MOWS,3000,10,4012800.4719999950,0.0000000000,0.3000000000,1337.6001573333,1337.9001573333,1.3558923693,2212.5650000000,1.3078009751,33.5859601195,7965233.9999999980
Baseline_RoundRobin,3000,1,3943038.2389999960,0.0000000000,0.3000000000,1314.3460796667,1314.6460796667,1.5798237549,1898.9460000000,0.3175491040,38.4525029401,6836205.6000000000
Baseline_RoundRobin,3000,2,3943037.4100000020,0.0000000000,0.3000000000,1314.3458033333,1314.6458033333,1.5798137716,1898.9580000000,0.3175402416,38.4522518646,6836248.8000000000
