scenario,taskCount,avgTotalCpuTime,avgTotalWaitTime,avgAvgStartTime,avgAvgExecutionTime,avgAvgFinishTime,avgThroughput,avgMakespan,avgImbalanceDegree,avgResourceUtilization,avgTotalEnergy
MOWS,1000,464374.1949000001,0.0000000000,0.3000000000,464.3741949000,464.6741949000,1.1107185900,906.5898000000,2.0945169356,9.5462254192,3263723.2800000003
Baseline_RoundRobin,1000,444500.5834000001,0.0000000000,0.3000000000,444.5005834000,444.8005834000,1.5059243066,664.0440000000,0.5496933294,12.3960043123,2390558.3999999994
MOWS,2000,1799160.1684999992,0.0000000000,0.3000000000,899.5800842500,899.8800842500,1.3052590928,1536.2547000000,1.3974442952,21.7433333111,5530516.9200000000
Baseline_RoundRobin,2000,1754656.5701000008,0.0000000000,0.3000000000,877.3282850500,877.6282850500,1.5897399456,1258.0674000000,0.3533991616,25.8282188912,4529042.6399999990
MOWS,3000,4006741.3513999970,0.0000000000,0.3000000000,1335.5804504667,1335.8804504667,1.3671669868,2198.9525000000,1.1945956364,33.8089404232,7916228.9999999980
Baseline_RoundRobin,3000,3943037.5288999975,0.0000000000,0.3000000000,1314.3458429667,1314.6458429667,1.5798170161,1898.9541000000,0.3175437421,38.4523319964,6836234.7600000000
MOWS,4000,7028458.1295999980,0.0000000000,0.3000000000,1757.1145324000,1757.4145324000,1.3886272311,2888.5639000000,1.0697682063,45.1853990269,10398830.0400000010
Baseline_RoundRobin,4000,6940845.4000000030,0.0000000000,0.3000000000,1735.2113500000,1735.5113500000,1.6418279982,2436.3088000000,0.2770339333,52.7577514290,8770711.6800000000
MOWS,5000,10951682.6145999880,0.0000000000,0.3000000000,2190.3365229200,2190.6365229200,1.3915399754,3606.0891000000,1.0738994377,56.4353502963,12981920.7600000020
Baseline_RoundRobin,5000,10804275.9575000010,0.0000000000,0.3000000000,2160.8551915000,2161.1551915000,1.6233657658,3080.0206000000,0.2845908037,64.9603396805,11088074.1600000020
MOWS,6000,15711677.2175000100,0.0000000000,0.3000000000,2618.6128695833,2618.9128695833,1.4829934624,4048.8533000000,0.8298306411,71.9127243433,14575871.8799999990
Baseline_RoundRobin,6000,15591820.9410999770,0.0000000000,0.3000000000,2598.6368235167,2598.9368235167,1.6193541756,3705.1808000000,0.2577095330,77.9280257620,13338650.8800000030
MOWS,7000,21386886.5925999800,0.0000000000,0.3000000000,3055.2695132286,3055.5695132286,1.4825605680,4724.5767000000,0.8001241656,83.8799870713,17008476.1200000050
Baseline_RoundRobin,7000,21237719.7682999970,0.0000000000,0.3000000000,3033.9599669000,3034.2599669000,1.6385437167,4272.0862000000,0.2485265723,92.0606674137,15379510.3200000020
MOWS,8000,27970921.6028000040,0.0000000000,0.3000000000,3496.3652003500,3496.6652003500,1.4743864449,5432.2476000000,0.7899014421,95.4603490995,19556091.3600000030
Baseline_RoundRobin,8000,27798380.1348000100,0.0000000000,0.3000000000,3474.7975168500,3475.0975168500,1.6540548431,4836.5990000000,0.2186290008,106.4352900274,17411756.4000000020
MOWS,9000,35355481.0138000000,0.0000000000,0.3000000000,3928.3867793111,3928.6867793111,1.5061310521,5977.8251000000,0.7208053705,109.5671298295,21520170.3600000030
Baseline_RoundRobin,9000,35137112.1700000600,0.0000000000,0.3000000000,3904.1235744445,3904.4235744445,1.6735178629,5377.8930000000,0.2109820553,120.9929729743,19360414.8000000100
MOWS,10000,43487571.6097999600,0.0000000000,0.3000000000,4348.7571609800,4349.0571609800,1.5304613246,6535.0722000000,0.6820658494,123.2513411074,23526259.9200000000
Baseline_RoundRobin,10000,43287254.2291999500,0.0000000000,0.3000000000,4328.7254229200,4329.0254229200,1.6670734604,5998.5359000000,0.2160794923,133.6352457373,21594729.2400000020
